date,price_per_90kg,is_harvest_season
2005-02-28,2533.5,1
2005-03-31,2300.4,0
2005-04-30,2700.0,0
2005-05-31,2980.08,0
2005-06-30,3500.1,1
2005-07-31,3399.975,1
2005-08-31,3299.85,1
2005-09-30,3199.725,0
2005-10-31,3299.729464285714,0
2005-11-30,3399.7339285714284,0
2005-12-31,3499.7383928571426,0
2006-01-31,3599.7428571428572,1
2006-02-28,3699.7473214285715,1
2006-03-31,3799.7517857142857,0
2006-04-30,3899.75625,0
2006-05-31,3999.760714285714,0
2006-06-30,4099.765178571429,1
2006-07-31,4199.7696428571435,1
2006-08-31,4299.774107142857,1
2006-09-30,4399.778571428571,0
2006-10-31,4499.783035714286,0
2006-11-30,4599.7875,0
2006-12-31,4699.791964285714,0
2007-01-31,4799.796428571429,1
2007-02-28,4899.8008928571435,1
2007-03-31,4999.805357142857,0
2007-04-30,5099.809821428572,0
2007-05-31,5199.814285714287,0
2007-06-30,5299.81875,1
2007-07-31,5399.823214285714,1
2007-08-31,5499.827678571429,1
2007-09-30,5599.8321428571435,0
2007-10-31,5699.836607142857,0
2007-11-30,5799.841071428572,0
2007-12-31,5899.845535714287,0
2008-01-31,5999.85,1
2008-02-29,5499.900000000001,1
2008-03-31,4999.95,0
2008-04-30,4500.0,0
2008-05-31,4200.0,0
2008-06-30,4016.4,1
2008-07-31,4500.0,1
2008-08-31,4199.849999999999,1
2008-09-30,4916.5875,0
2008-10-31,5633.325,0
2008-11-30,6350.0625,0
2008-12-31,7066.8,0
2009-01-31,5000.400000000001,1
2009-02-28,7485.428571428572,1
2009-03-31,6436.063636363636,0
2009-04-30,6539.76,0
2009-05-31,6745.005,0
2009-06-30,6950.25,1
2009-07-31,7329.87,1
2009-08-31,8039.789999999999,1
2009-09-30,8642.7,0
2009-10-31,7799.94,0
2009-11-30,6300.0,0
2009-12-31,9359.82,0
2010-01-31,9370.633846153845,1
2010-02-28,9381.447692307693,1
2010-03-31,9392.261538461538,0
2010-04-30,9403.075384615384,0
2010-05-31,9413.889230769231,0
2010-06-30,9424.703076923077,1
2010-07-31,9435.516923076922,1
2010-08-31,9446.330769230768,1
2010-09-30,9457.144615384615,0
2010-10-31,9467.958461538461,0
2010-11-30,9478.772307692307,0
2010-12-31,9489.586153846154,0
2011-01-31,9500.4,1
2011-02-28,9500.4,1
2011-03-31,9500.4,0
2011-04-30,9500.4,0
2011-05-31,9500.4,0
2011-06-30,9600.3,1
2011-07-31,9700.2,1
2011-08-31,9450.0,1
2011-09-30,9466.800000000001,0
2011-10-31,9235.755000000001,0
2011-11-30,9004.710000000001,0
2011-12-31,8773.665,0
2012-01-31,8542.62,1
2012-02-29,8311.575,1
2012-03-31,8080.530000000001,0
2012-04-30,7849.485000000001,0
2012-05-31,7618.4400000000005,0
2012-06-30,7387.395,1
2012-07-31,7156.35,1
2012-08-31,6925.305,1
2012-09-30,6694.26,0
2012-10-31,6463.215,0
2012-11-30,6232.17,0
2012-12-31,6001.125,0
2013-01-31,5770.08,1
2013-02-28,6358.650000000001,1
2013-03-31,5990.22,0
