date,price_per_90kg,is_harvest_season
2021-05-31,2250.0,0
2021-06-30,2300.0,1
2021-07-31,2802.8571428571427,1
2021-08-31,2668.235294117647,1
2021-09-30,2706.8849999999998,0
2021-10-31,2793.0239999999994,0
2021-11-30,2879.7749999999996,0
2021-12-31,2738.04,0
2022-01-31,3232.3714285714286,1
2022-02-28,3255.156,1
2022-03-31,3270.0214285714283,0
2022-04-30,3464.85,0
2022-05-31,4493.925,0
2022-06-30,5438.492307692309,1
2022-07-31,30755.300000000003,1
2022-08-31,5132.064705882352,1
2022-09-30,6068.907692307693,0
2022-10-31,5877.4,0
2022-11-30,5799.599999999999,0
2022-12-31,5910.799999999999,0
